Chinese	Pinyin	English
爱情	àiqíng	Love
安排	ānpái	arrange
安全	ānquán	security
按时	ànshí	on time
按照	ànzhào	according to
百分之 	bǎifēnzhī	percent
棒 	bàng	stick；excellent
包子	bāozi	Steamed stuffed bun
保护	bǎohù	protect
保证	bǎozhèng	ensure
抱	bào	Hold
抱歉	bàoqiàn	feel sorry
报名	bàomíng	sign up
倍	bèi	times
本来	běnlái	originally
笨	bèn	stupid
比如	bǐrú	such as
毕业	bìyè	graduation
遍	biàn	Times
标准	biāozhǔn	standard
表格	biǎogé	form
表示	biǎoshì	Express
表演	biǎoyǎn	perform
表扬	biǎoyáng	Praise
饼干	bǐnggān	Biscuits
并且	bìngqiě	also
博士	bóshì	doctor
不过	búguò	However
不得不	bùdébù	have to
不管	bùguǎn	no matter
不仅	bùjǐn	not only
部分	bùfen	Part
擦	cā	wipe
猜	cāi	guess
材料	cáiliào	Material Science
参观	cānguān	visit
餐厅	cāntīng	Restaurant
差不多	chàbuduō	Almost
尝	cháng	taste
长城	chángchéng	The Great Wall
长江	chángjiāng	The Yangtze River
场	chǎng	site
超过	chāoguò	Exceed
厕所	cèsuǒ	Toilet
成功	chénggōng	Success
成为	chéngwéi	Become
诚实	chéngshí	honest
乘坐	chéngzuò	ride
吃惊	chījīng	Be amazed
重新	chóngxīn	again
抽烟	chōuyān	smoking
出差	chūchāi	A business travel
出发	chūfā	Set out
出生	chūshēng	Birth
出现	chūxiàn	Appear
厨房	chúfáng	Kitchen
传真	chuánzhēn	Fax
窗户	chuānghu	Window
词语	cíyǔ	terms, words
从来	cónglái	Always
粗心	cūxīn	careless
存	cún	Deposit
错误	cuòwù	error
答案	dá’àn	Answer
打招呼	dǎzhāohu	Say hello
打扮	dǎban	dress up
打扰	dǎrǎo	Disturb
打印	dǎyìn	Print
打折	dǎzhé	Discount
打针	dǎzhēn	To make an injection
大概	dàgài	Probably
大使馆	dàshǐguǎn	Embassy
大约	dàyuē	about
戴	dài	wear
大夫	dàifu	Doctor
当	dāng	When
当时	dāngshí	at that time
刀	dāo	knife
导游	dǎoyóu	Guide
倒	dào	inverted
到处	dàochù	everywhere
到底	dàodǐ	To the end
道歉	dàoqiàn	apologize
得意	déyì	Proud
地点	dìdiǎn	location
得（助动词）	děi	have to
登机牌	dēngjīpái	Boarding pass
等 （动）	děng	Wait (verb)
低	dī	low
底	dǐ	bottom
地球	dìqiú	earth
地址	dìzhǐ	address
掉	diào	fall
调查	diàochá	investigation
丢	diū	lose
动作	dòngzuò	action
堵车	dǔchē	Traffic jam
肚子	dùzi	belly
短信	duǎnxìn	Short message
对于	duìyú	about
对话	duìhuà	dialogue
对面	duìmiàn	Opposite side
而	ér	and
儿童	értóng	children
发生	fāshēng	Happen
发展	fāzhǎn	Development
法律	fǎlǜ	Law
翻译	fānyì	translate
烦恼	fánnǎo	annoyance
反对	fǎnduì	Opposition
方法	fāngfǎ	Method
方面	fāngmiàn	Aspect
方向	fāngxiàng	direction
房东	fángdōng	landlord
放弃	fàngqì	give up
放暑假	fàngshǔjià	summer vacation
放松	fàngsōng	Relax
份	fèn	share (measure word)
丰富	fēngfù	rich
否则	fǒuzé	otherwise
符合	fúhé	accord with
富	fù	rich
付款	fùkuǎn	pay
父亲	fùqīn	father
复印	fùyìn	To copy
复杂	fùzá	complex
负责	fùzé	Be responsible for
改变	gǎibiàn	change
干杯	gānbēi	Cheers!
赶	gǎn	catch up with
敢	gǎn	dare
感动	gǎndòng	Be moved
感觉	gǎnjué	feel
感情	gǎnqíng	feeling
感谢	gǎnxiè	Thank
干	gān	dry
刚	gāng	just
高速公路	gāosùgōnglù	Expressway
胳膊	gēbo	Arm
各	gè	various
公里	gōnglǐ	kilometre
工资	gōngzī	wages
功夫	gōngfu	Kungfu 
