Chinese	Pinyin	English
阿姨	āyí	aunt
啊	a	ah
矮	ǎi	short
爱	ài	love
爱好	àihào	hobby
安静	ānjìng	Be quiet
八	bā	Eight
把	bǎ	hold
爸爸	bàba	Dad
吧	ba	
白	bái	white
百	bǎi	hundred
班	bān	class
搬	bān	turn; pull
半	bàn	half
办法	bànfǎ	Way
办公室	bàngōngshì	Office
帮忙	bāngmáng	Help
帮助	bāngzhù	Help
包	bāo	package
饱	bǎo	full
报纸	bàozhǐ	Newspaper
杯子	bēizi	glass
北方	běifāng	north
北京	běijīng	Beijing
被	bèi	cover
本	běn	book
鼻子	bízi	nose
比	bǐ	than
比较	bǐjiào	compare
比赛	bǐsài	Match
必须	bìxū	Must
变化	biànhuà	change
表示	biǎoshì	Express
表演	biǎoyǎn	perform
别	bié	other
别人	biéren	Others
宾馆	bīnguǎn	hotel
冰箱	bīngxiāng	Refrigerator
不客气	búkèqi	You are welcome
不	bù	No
才	cái	just
菜	cài	food
菜单	càidān	menu
参加	cānjiā	participate in
草	cǎo	grass
层	céng	layer
茶	chá	tea
差	chà	difference
长	cháng	long
唱歌	chànggē	Sing
超市	chāoshì	Supermarket
衬衫	chènshān	shirt
成绩	chéngjì	achievement
城市	chéngshì	City
吃	chī	eat
迟到	chídào	Late
出	chū	come out
出现	chūxiàn	Appear
出租车	chūzūchē	Taxi
厨房	chúfáng	Kitchen
除了	chúle	except
穿	chuān	Wear
船	chuán	ship
春	chūn	spring
词语	cíyǔ	terms
次	cì	second
聪明	cōngming	clever
从	cóng	from
错	cuò	Wrong
打电话	dǎdiànhuà	Phone
打篮球	dǎlánqiú	Play basketball
打扫	dǎsǎo	Clean
打算	dǎsuàn	Plan
大	dà	large
大家	dàjiā	everybody
带	dài	belt
担心	dānxīn	Worry
蛋糕	dàngāo	Cake
但是	dànshì	however
当然	dāngrán	Of course
到	dào	reach
地	de	
的	de	
得	de	
灯	dēng	lamp
等	děng	etc.
低	dī	low
弟弟	dìdi	Younger brother
地方	dìfang	local
地铁	dìtiě	metro
地图	dìtú	Map
第一	dìyī	first
点	diǎn	spot
电脑	diànnǎo	Computer
电视	diànshì	television
电梯	diàntī	Elevator.
电影	diànyǐng	Film
电子邮件	diànzǐyóujiàn	E-mail
东	dōng	east
东西	dōngxi	thing
冬	dōng	winter
懂	dǒng	understand
动物	dòngwù	Animal
都	dōu	all
读	dú	read
短	duǎn	short
段	duàn	paragraph
锻炼	duànliàn	Physical exercise
对	duì	Yes
对不起	duìbuqǐ	I’m sorry.
多	duō	many
多么	duōme	what
多少	duōshao	how much
饿	è	hungry
而且	érqiě	And
儿子	érzi	Son
耳朵	ěrduo	Ears
二	èr	Two
发烧	fāshāo	Have a fever
发现	fāxiàn	find
饭馆	fànguǎn	restaurant
方便	fāngbiàn	convenient
房间	fángjiān	Room
放	fàng	discharge
放心	fàngxīn	Don’t worry
非常	fēicháng	very
飞机	fēijī	aircraft
分	fēn	branch
分钟	fēnzhōng	Minute
服务员	fúwùyuán	Waiter
附近	fùjìn	nearby
复习	fùxí	Review
干净	gānjìng	clean
敢	gǎn	dare
