Chinese	Pinyin	English
谢谢	xièxie	thank
不客气	búkèqì	you are welcome
再见	zàijiàn	good-bye
请	qǐng	please
对不起	duìbùqǐ	sorry
没关系	méiguānxì	It doesn’t matter
是	shì	be (am, is, are)
有	yǒu	have
看	kàn	look
听	tīng	listen
说话	shuōhuà	speak
读	dú	read
写	xiě	write
看见	kànjiàn	see
叫	jiào	call
来	lái	come
回	huí	return
去	qù	go
吃	chī	eat
喝	hē	drink
睡觉	shuìjiào	sleep
打电话	dǎdiànhuà	call up
做	zuò	do, make
买	mǎi	buy
开	kāi	open
坐	zuò	sit
住	zhù	live
学习	xuéxí	study
工作	gōngzuò	work
下雨	xiàyǔ	rain
爱	ài	love
喜欢	xǐhuān	love, like
想	xiǎng	want
认识	rènshi	know
会	huì	can
能	néng	can, be able to
